"SYMBOL 
","ISSUE PRICE 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30D   %CHNG 
","365 D   %CHNG 
"
"SGBAUG28V","5,284.00","15,110.00","15,139.99","14,950.00","15,115.62","15,100.00","-","-15.62","-0.10","1,775","2.68","18,800.00","8,825.05",-1.43,"69.34"
"SGBFEB32IV","6,213.00","16,188.67","16,389.69","16,150.01","16,108.13","16,185.00","-","76.87","0.48","896","1.45","21,475.00","8,916.00",0.24,"76.24"
"SGBDE31III","6,149.00","15,560.00","15,738.99","15,499.00","15,580.00","15,650.00","-","70.00","0.45","897","1.40","19,298.00","8,856.00",-1.95,"72.63"
"SGBN28VIII","5,127.00","15,175.00","15,175.00","15,087.01","15,175.01","15,129.00","-","-46.01","-0.30","878","1.33","19,000.00","8,650.00",-1.12,"70.54"
"SGBJUN31I","5,876.00","15,414.21","15,549.99","15,351.00","15,414.21","15,490.00","-","75.79","0.49","714","1.10","19,150.02","8,795.00",-2.08,"71.76"
"SGBSEP31II","5,873.00","15,236.20","15,547.99","15,236.20","15,424.73","15,475.01","-","50.28","0.33","651","1.00","19,190.00","8,816.00",-2.87,"71.70"
"SGBMAR31IV","5,561.00","15,401.05","15,474.00","15,400.00","15,401.05","15,400.00","-","-1.05","-0.01","229","0.35","19,275.00","8,849.17",-1.3,"71.31"
"SGBAUG29V","4,740.00","15,100.00","15,240.00","15,100.00","15,202.19","15,130.02","-","-72.17","-0.47","227","0.34","19,121.00","8,812.00",-1.65,"70.36"
"SGBSEP28VI","5,067.00","15,008.26","15,089.99","15,008.26","15,083.67","15,082.00","-","-1.67","-0.01","226","0.34","18,600.00","8,707.00",-1.5,"69.26"
"SGBMAY29I","4,589.00","15,171.15","15,188.00","15,061.01","15,171.14","15,164.98","-","-6.16","-0.04","216","0.33","18,590.00","8,726.15",-0.98,"70.26"
"SGBSEP29VI","4,682.00","15,173.50","15,173.50","15,037.00","15,173.50","15,125.01","-","-48.49","-0.32","170","0.26","18,600.00","8,500.00",-0.92,"70.53"
"SGBJUL28IV","4,802.00","15,025.00","15,110.00","15,025.00","15,105.62","15,050.00","-","-55.62","-0.37","167","0.25","18,600.01","8,675.00",-1.4,"69.52"
"SGBJUL27","3,393.00","14,701.03","15,030.00","14,700.00","15,000.00","15,030.00","-","30.00","0.20","141","0.21","18,242.76","8,757.01",-1.86,"70.47"
"SGBAUG30","5,147.00","15,209.99","15,287.03","15,076.01","15,210.98","15,250.00","-","39.02","0.26","115","0.17","19,250.00","8,626.00",-2.08,"69.91"
"SGBJAN29IX","4,950.00","15,015.00","15,139.50","15,000.00","15,130.14","15,099.00","-","-31.14","-0.21","102","0.15","18,599.00","8,500.00",-1.64,"69.96"
"SGBFEB29XI","4,862.00","15,090.55","15,195.46","15,040.01","15,104.88","15,040.01","-","-64.87","-0.43","85","0.13","18,900.00","8,602.00",-1.68,"69.72"
"SGBMR29XII","4,612.00","15,000.00","15,121.00","15,000.00","15,117.62","15,121.00","-","3.38","0.02","73","0.11","18,640.00","8,674.00",-1.51,"70.06"
"SGBJAN30IX","4,736.00","15,192.00","15,250.00","15,192.00","15,195.22","15,250.00","-","54.78","0.36","70","0.11","18,799.00","8,707.00",-1.85,"70.62"
"SGBDE30III","5,359.00","15,589.99","15,589.99","15,200.09","15,299.92","15,325.00","-","25.08","0.16","68","0.10","19,100.00","8,800.00",-2.57,"71.10"
"SGBAPR28I","4,589.00","15,250.00","15,326.25","15,101.00","15,227.66","15,289.99","-","62.33","0.41","62","0.09","18,800.00","8,933.00",-0.78,"65.58"
"SGBJUN30","5,041.00","15,250.00","15,487.99","15,151.00","15,201.95","15,201.01","-","-0.94","-0.01","57","0.09","19,400.00","8,801.00",-2.18,"67.63"
"SGBAUG27","3,449.00","15,001.00","15,110.00","15,001.00","15,117.57","15,110.00","-","-7.57","-0.05","55","0.08","18,899.00","8,725.00",-1.27,"68.91"
"SGBOC28VII","5,001.00","15,099.05","15,102.66","14,965.90","15,192.81","15,080.56","-","-112.25","-0.74","50","0.08","18,645.00","8,788.10",-0.93,"69.71"
"SGBMAY26","3,064.00","15,139.99","15,139.99","15,099.75","15,180.00","15,106.00","-","-74.00","-0.49","43","0.07","18,460.00","8,900.00",-1.42,"66.36"
"SGBJUN29II","4,839.00","15,110.00","15,110.00","15,055.00","15,110.00","15,085.00","-","-25.00","-0.17","37","0.06","18,650.00","8,650.00",-1.34,"69.47"
"SGBD29VIII","4,741.00","15,011.00","15,198.99","15,011.00","15,211.66","15,184.99","-","-26.67","-0.18","36","0.05","18,897.90","8,720.00",-1.51,"70.67"
"SGBJUL29IV","4,757.00","15,025.50","15,289.99","15,025.50","15,147.77","15,100.00","-","-47.77","-0.32","35","0.05","18,600.01","8,700.00",-1.97,"70.26"
"SGBJAN29X","5,054.00","15,070.00","15,100.00","15,070.00","15,084.30","15,090.00","-","5.70","0.04","31","0.05","18,571.00","8,702.00",-1.73,"69.01"
"SGBMAY28","4,540.00","15,026.10","15,100.01","15,025.00","15,160.18","15,100.00","-","-60.18","-0.40","28","0.04","18,605.26","8,845.17",-0.98,"66.64"
"SGBNV29VII","4,711.00","15,200.00","15,200.00","15,051.00","15,240.00","15,138.00","-","-102.00","-0.67","25","0.04","18,899.00","8,604.40",-1.97,"71.22"
"SGBJUN28","4,627.00","15,025.00","15,030.01","15,025.00","15,124.00","15,030.01","-","-93.99","-0.62","20","0.03","18,800.00","8,602.00",-1.28,"68.97"
"SGBJU29III","4,839.00","15,085.00","15,160.43","15,069.01","15,187.50","15,101.45","-","-86.05","-0.57","19","0.03","18,593.26","8,602.00",-0.87,"70.65"
"SGBMAR30X","5,059.00","15,100.00","15,200.00","15,100.00","15,295.00","15,200.00","-","-95.00","-0.62","10","0.02","18,900.00","8,666.00",-1.53,"71.61"
"SGBMAR28X","4,210.00","14,902.01","15,060.00","14,902.01","15,100.00","15,060.00","-","-40.00","-0.26","10","0.01","18,650.00","8,800.00",-1.32,"68.81"
"SGBJ28VIII","3,966.00","15,149.90","15,149.90","15,099.99","15,180.00","15,100.00","-","-80.00","-0.53","9","0.01","18,897.99","8,702.00",-0.82,"68.67"
"SGBDEC26","3,069.00","15,140.00","15,140.00","15,140.00","15,005.24","15,140.00","-","134.76","0.90","6","0.01","18,999.00","8,901.01",-3.88,"64.91"
"SGBDC27VII","3,745.00","15,174.99","15,174.99","15,005.01","15,174.99","15,011.00","-","-163.99","-1.08","5","0.01","18,800.09","8,670.00",-0.89,"68.66"
"SGBSEP27","3,449.00","15,247.88","15,247.90","15,001.00","15,499.99","15,001.00","-","-498.99","-3.22","5","0.01","18,550.00","8,800.00",1.31,"74.35"
"SGBJUN27","3,146.00","15,100.00","15,100.00","15,100.00","15,100.00","15,100.00","-","-","-","4","0.01","18,500.00","8,800.00",-1.63,"68.00"
"SGBOCT27VI","3,785.00","15,150.00","15,150.00","15,150.00","15,150.01","15,150.00","-","-0.01","-","1","-","18,648.99","8,810.00",-0.98,"69.18"
"SGBOCT27","3,738.00","15,050.00","15,050.00","15,050.00","14,896.79","15,050.00","-","153.21","1.03","1","-","18,804.93","8,799.00",-3.54,"67.38"
"SGBJAN27","3,164.00","-","-","-","15,050.00","15,050.00","-","-","-","-","-","18,817.99","8,800.00",-1.77,"68.34"
"SGBNOV26","3,133.00","-","-","-","15,126.71","15,126.01","-","-0.70","-","-","-","18,999.00","8,775.01",-1.27,"64.44"
"SGBOCT26","3,096.00","-","-","-","14,800.00","14,800.00","-","-","-","-","-","18,251.00","8,973.00",-3.61,"64.28"
"SGBFEB28IX","4,020.00","-","-","-","15,080.00","15,080.00","-","-","-","-","-","18,816.01","8,631.10",-1.69,"67.67"
"SGBFEB27","3,276.00","-","-","-","15,054.52","15,058.73","-","4.21","0.03","-","-","18,899.00","8,753.01",-1.75,"65.47"
