symbol,ex_date,date_type,record_date,category,resulting_entity,resulting_symbol,source,source_reference,retrieved_at,verified,gap_pct_kite,review_reason
JUBLPHARMA,2021-02-04,EX_DATE,2021-02-05,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-13.2215,
GFLLIMITED,2021-03-26,EX_DATE,2021-03-30,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,187.1622,
GMRAIRPORT,2022-01-11,EX_DATE,2022-01-12,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-9.7007,
MOTHERSON,2022-01-14,EX_DATE,2022-01-17,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-7.2186,
DHAMPURSUG,2022-05-13,EX_DATE,2022-05-17,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-11.4381,
TIPSMUSIC,2022-05-19,EX_DATE,2022-05-21,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-14.2699,
IBULLSLTD,2022-09-01,EX_DATE,2022-09-02,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-11.7117,
KAMDHENU,2022-09-06,EX_DATE,2022-09-07,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-49.0809,
BEML,2022-09-08,EX_DATE,2022-09-09,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-20.3915,
AHLEAST,2022-10-06,EX_DATE,2022-10-07,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-20.7878,
AARTIIND,2022-10-19,EX_DATE,2022-10-20,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-12.7265,
NMDC,2022-10-27,EX_DATE,2022-10-28,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,63.8095,
NDLVENTURE,2022-11-22,EX_DATE,2022-11-23,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-84.9685,
RADIOCITY,2023-01-13,EX_DATE,2023-01-13,NCRPS_BONUS_SCHEME,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,false,-19.8488,"NSE files this under action_type=DEMERGER but subject is 'Scheme Of Arrangement - Bonus Ncrps 1:10' -- a Scheme of Arrangement issuing Non-Convertible Redeemable Preference Shares, not a business demerger. Kite gap on/near ex_date is -19.8488% (no discontinuity consistent with a business separation). Excluded from regime-break treatment pending owner confirmation."
MIRZAINT,2023-03-29,EX_DATE,2023-03-29,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-77.7027,
SCI,2023-03-31,EX_DATE,2023-03-31,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,30.0029,
GHCL,2023-04-06,EX_DATE,2023-04-08,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-6.1248,
ALLCARGO,2023-04-18,EX_DATE,2023-04-18,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-24.7566,
EDELWEISS,2023-06-02,EX_DATE,2023-06-02,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-22.0490,
NIITLTD,2023-06-08,EX_DATE,2023-06-08,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-47.0250,
VAKRANGEE,2023-06-15,EX_DATE,2023-06-15,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-12.7119,
RELIANCE,2023-07-20,EX_DATE,2023-07-20,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-4.7549,
SAREGAMA,2023-07-27,EX_DATE,2023-07-27,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-0.1007,
TVSHLTD,2023-08-24,EX_DATE,2023-08-24,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,53.0001,
JHS,2023-09-11,EX_DATE,2023-09-11,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-2.1739,
BAJAJELEC,2023-09-14,EX_DATE,2023-09-14,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,32.2069,
BOROLTD,2023-12-05,EX_DATE,2023-12-05,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,52.7166,
SEMAC,2024-05-03,EX_DATE,2024-05-03,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-31.9380,
UEL,2024-05-22,EX_DATE,2024-05-22,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,250.0000,
SANOFI,2024-06-13,EX_DATE,2024-06-13,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-30.3190,
RAYMOND,2024-07-11,EX_DATE,2024-07-11,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-39.2889,
AJMERA,2024-08-02,EX_DATE,2024-08-02,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-7.7234,
CCAVENUE,2024-09-11,EX_DATE,2024-09-11,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-4.6341,
ROSSELLIND,2024-09-20,EX_DATE,2024-09-20,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-71.0770,
STAR,2024-12-06,EX_DATE,2024-12-06,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-51.0099,
ITC,2025-01-06,EX_DATE,2025-01-06,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,9.3656,
SIEMENS,2025-04-07,EX_DATE,2025-04-07,DEMERGER,Siemens Energy India Limited (SEIL),,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-34.7406,
QUESS,2025-04-15,EX_DATE,2025-04-15,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,12.5659,
CHEMBOND,2025-05-09,EX_DATE,2025-05-09,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-47.2243,
CPCAP,2025-05-09,EX_DATE,2025-05-09,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-34.2222,
RAYMOND,2025-05-14,EX_DATE,2025-05-14,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-44.9108,
ABFRL,2025-05-22,EX_DATE,2025-05-22,DEMERGER,Aditya Birla Lifestyle Brands Limited (ABLBL),,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-51.8546,
DBREALTY,2025-07-18,EX_DATE,2025-07-18,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-13.2911,
TVSMOTOR,2025-08-25,EX_DATE,2025-08-25,NCRPS_BONUS_SCHEME,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,false,0.4674,"NSE files this under action_type=DEMERGER but subject is 'Scheme Of Arrangement - Bonus Ncrps 4:1' -- a Scheme of Arrangement issuing Non-Convertible Redeemable Preference Shares, not a business demerger. Kite gap on/near ex_date is 0.4674% (no discontinuity consistent with a business separation). Excluded from regime-break treatment pending owner confirmation."
SHANKARA,2025-09-24,EX_DATE,2025-09-24,DEMERGER,,,NSE corporate-actions API (nseindia.com/api/corporates-corporateActions),https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2021&to_date=22-09-2026,2026-09-22T07:23:19Z,true,-74.2554,
