symbol,date,prev_close,open,gap_pct
KAUSHALYA-BE,2024-02-06,9.85,965.5,9702.030456852792
ARIHANT,2026-04-20,39.65,970.0,2346.4060529634303
LANDSMILL,2021-05-20,0.15,2.5,1566.6666666666667
LANDSMILL,2021-12-02,0.3,4.65,1450.0000000000002
LANDSMILL,2022-04-21,0.5,7.65,1430.0
HARDWYN,2022-05-06,6.35,80.33,1165.0393700787401
SHEKHAWATI-BE,2024-09-10,8.82,86.43,879.9319727891158
CCCL,2024-09-03,1.5,10.9,626.6666666666666
VIVIMEDLAB-BE,2025-12-18,4.95,28.0,465.65656565656565
GVPTECH-BE,2022-09-22,6.67,36.55,447.97601199400293
AJOONI,2021-05-20,8.4,41.95,399.4047619047619
UEL,2024-05-27,14.6,51.1,250.0
GVKPIL-BE,2022-08-12,2.5,6.0,140.0
SICAGEN,2026-04-20,24.35,55.5,127.92607802874743
ATLASCYCLE,2024-12-27,28.85,63.0,118.37088388214903
KOVAI,2026-04-20,2576.65,5499.9,113.451574719112
BCG,2025-07-14,10.25,21.8,112.6829268292683
SHRADHA,2022-09-22,10.29,21.41,108.06608357628768
GLOBAL,2022-06-21,23.9,47.6,99.16317991631801
VINNY,2023-01-12,114.58,4.74,-95.86315238261477
KESORAMIND-BE,2025-03-10,204.72,10.23,-95.0029308323564
LANDSMILL,2021-02-02,2.5,0.15,-94.0
LANDSMILL,2021-10-12,3.2,0.2,-93.75
LANDSMILL,2022-06-21,5.35,0.35,-93.45794392523365
LANDSMILL,2022-03-29,7.15,0.5,-93.00699300699301
HARDWYN,2022-06-21,80.84,6.25,-92.26867887184562
DRCSYSTEMS,2022-03-21,127.1,12.25,-90.36191974822974
SHRADHA,2021-02-02,10.15,19.3,90.14778325123153
DEVIT,2022-05-06,38.98,74.1,90.0974858902001
VCL-BE,2022-05-19,13.6,25.85,90.07352941176472
MOM30IETF,2022-08-12,186.62,18.7,-89.9796377665845
GOYALALUM,2023-03-10,292.45,29.5,-89.91280560779622
AJOONI,2021-07-20,41.7,8.25,-80.2158273381295
GVPTECH-BE,2022-12-06,90.08,18.17,-79.82904085257549
KSHITIJPOL,2022-08-25,65.12,13.5,-79.26904176904176
LANCER,2026-08-17,49.9,10.91,-78.13627254509016
MHLXMIRU-BE,2024-04-19,127.25,220.0,72.88801571709233
STLTECH-BE,2025-04-24,36.73,61.11,66.37625918867413
GLOBE,2021-02-02,8.59,2.95,-65.65774155995344
ESSENTIA,2022-02-07,2.31,0.8,-65.36796536796537
HEG-BE,2026-09-07,728.25,260.0,-64.29797459663577
DCI,2022-01-10,96.0,43.6,-54.58333333333333
NOVARTIND,2026-04-20,647.25,991.0,53.109308613364234
SONAMLTD-BE,2022-07-14,44.3,21.0,-52.595936794582386
VCL-BE,2022-06-21,15.55,7.6,-51.12540192926045
DEVIT,2022-06-21,60.02,30.0,-50.016661112962346
LANDSMILL,2021-04-30,0.1,0.15,49.999999999999986
MASKINVEST,2024-10-28,144.03,215.9,49.89932652919531
