symbol,series,action_type,action_subtype,purpose,ratio,face_value_pre,face_value_post,dividend_amount,record_date,ex_date,bc_start_date,bc_end_date,announcement_date,source
ABFRL,EQ,DEMERGER,,Demerger,,,,,2025-05-22,2025-05-22,,,,NSE_CA_ARCHIVE
AJMERA,EQ,DEMERGER,,Demerger,,,,,2024-08-02,2024-08-02,,,,NSE_CA_ARCHIVE
ALLCARGO,EQ,DEMERGER,,Demerger,,,,,2025-11-12,2025-11-12,,,,NSE_CA_ARCHIVE
CCAVENUE,EQ,DEMERGER,,Demerger,,,,,2024-09-11,2024-09-11,,,,NSE_CA_ARCHIVE
CHEMBOND,EQ,DEMERGER,,Demerger,,,,,2025-05-09,2025-05-09,,,,NSE_CA_ARCHIVE
CPCAP,EQ,DEMERGER,,Demerger,,,,,2025-05-09,2025-05-09,,,,NSE_CA_ARCHIVE
DALMIASUG,EQ,DEMERGER,,Demerger,,,,,2025-10-31,2025-10-31,,,,NSE_CA_ARCHIVE
DBREALTY,EQ,DEMERGER,,Demerger,,,,,2025-07-18,2025-07-18,,,,NSE_CA_ARCHIVE
DCMSRIND,EQ,DEMERGER,,Demerger,,,,,2025-12-26,2025-12-26,,,,NSE_CA_ARCHIVE
GENUSPOWER,EQ,DEMERGER,,Demerger,,,,,2026-02-06,2026-02-06,,,,NSE_CA_ARCHIVE
GUJENERGY,EQ,DEMERGER,,Demerger,,,,,2026-07-02,2026-07-02,,,,NSE_CA_ARCHIVE
HEG,EQ,DEMERGER,,Demerger,,,,,2026-09-07,2026-09-07,,,,NSE_CA_ARCHIVE
HERCULES,EQ,DEMERGER,,Demerger,,,,,2024-10-11,2024-10-11,,,,NSE_CA_ARCHIVE
HINDUNILVR,EQ,DEMERGER,,Demerger,,,,,2025-12-05,2025-12-05,,,,NSE_CA_ARCHIVE
INDIAGLYCO,EQ,DEMERGER,,Demerger,,,,,2026-09-02,2026-09-02,,,,NSE_CA_ARCHIVE
INOXGREEN,EQ,DEMERGER,,Demerger,,,,,2026-08-01,2026-07-31,,,,NSE_CA_ARCHIVE
ITC,EQ,DEMERGER,,Demerger,,,,,2025-01-06,2025-01-06,,,,NSE_CA_ARCHIVE
KESORAMIND,EQ,DEMERGER,,Demerger,,,,,2025-03-10,2025-03-10,,,,NSE_CA_ARCHIVE
KHADIM,EQ,DEMERGER,,Demerger,,,,,2025-06-07,2025-06-06,,,,NSE_CA_ARCHIVE
OCCL,EQ,DEMERGER,,Demerger,,,,,2024-07-01,2024-07-01,,,,NSE_CA_ARCHIVE
QUESS,EQ,DEMERGER,,Demerger,,,,,2025-04-15,2025-04-15,,,,NSE_CA_ARCHIVE
RAYMOND,EQ,DEMERGER,,Demerger,,,,,2024-07-11,2024-07-11,,,,NSE_CA_ARCHIVE
RAYMOND,EQ,DEMERGER,,Demerger,,,,,2025-05-14,2025-05-14,,,,NSE_CA_ARCHIVE
ROSSELLIND,EQ,DEMERGER,,Demerger,,,,,2024-09-20,2024-09-20,,,,NSE_CA_ARCHIVE
SANOFI,EQ,DEMERGER,,Demerger,,,,,2024-06-13,2024-06-13,,,,NSE_CA_ARCHIVE
SHANKARA,EQ,DEMERGER,,Demerger,,,,,2025-09-24,2025-09-24,,,,NSE_CA_ARCHIVE
SIEMENS,EQ,DEMERGER,,Demerger,,,,,2025-04-07,2025-04-07,,,,NSE_CA_ARCHIVE
SIYSIL,EQ,DEMERGER,,Scheme Of Arrangement - Bonus Ncrps 4:1 + Scheme Of Arrangement - Bonus Ncrps 3:1,,,,,2026-08-22,2026-08-21,,,,NSE_CA_ARCHIVE
SKFINDIA,EQ,DEMERGER,,Demerger,,,,,2025-10-15,2025-10-15,,,,NSE_CA_ARCHIVE
STAR,EQ,DEMERGER,,Demerger,,,,,2024-12-06,2024-12-06,,,,NSE_CA_ARCHIVE
STLTECH,EQ,DEMERGER,,Demerger,,,,,2025-04-24,2025-04-24,,,,NSE_CA_ARCHIVE
TMPV,EQ,DEMERGER,,Demerger,,,,,2025-10-14,2025-10-14,,,,NSE_CA_ARCHIVE
TRIVENI,EQ,DEMERGER,,Demerger,,,,,2026-07-22,2026-07-22,,,,NSE_CA_ARCHIVE
TVSHLTD,EQ,DEMERGER,,Scheme Of Arrangement - Bonus Ncrps 46:1,,,,,2026-09-08,2026-09-08,,,,NSE_CA_ARCHIVE
TVSMOTOR,EQ,DEMERGER,,Scheme Of Arrangement - Bonus Ncrps 4:1,,,,,2025-08-25,2025-08-25,,,,NSE_CA_ARCHIVE
VEDL,EQ,DEMERGER,,Demerger,,,,,2026-05-01,2026-04-30,,,,NSE_CA_ARCHIVE
