date,open,high,low,close,volume
2019-07-01,3384.8,3395.7,3365.4,3388.95,0
2019-07-02,3397.3,3408.85,3384.6,3406.7,0
2019-07-03,3412.35,3430.15,3404.5,3425.85,0
2019-07-04,3433.7,3447.6,3427.1,3437.55,0
2019-07-05,3444.8,3453.3,3365.05,3373.45,0
2019-07-08,3359.55,3360.05,3243.85,3268,0
2019-07-09,3259.4,3318.8,3252.05,3314.1,0
2019-07-10,3303.85,3317.1,3250.25,3267.35,0
2019-07-11,3281.8,3290.5,3266.35,3281.4,0
2019-07-12,3286.85,3286.9,3240.55,3249.7,0
2019-07-15,3250.55,3254.6,3206.75,3215.05,0
2019-07-16,3219.95,3260.45,3207.3,3256.25,0
2019-07-17,3258.3,3270.75,3236.1,3241.15,0
2019-07-18,3240.9,3244.6,3190.75,3194.2,0
2019-07-19,3211.4,3219.85,3159.45,3171.1,0
2019-07-22,3170.75,3190.1,3133.85,3177.8,0
2019-07-23,3189.45,3197.6,3163.9,3192.95,0
2019-07-24,3194.05,3202.7,3129.05,3149,0
2019-07-25,3155.8,3179.35,3120.3,3128.4,0
2019-07-26,3127.3,3149.35,3114.3,3137.15,0
2019-07-29,3132.55,3137.25,3075,3079.1,0
2019-07-30,3086.4,3115.5,3070.55,3076.55,0
2019-07-31,3063.95,3096.85,3055.15,3086.65,0
2019-08-01,3074.6,3092.7,3023.45,3048.15,0
2019-08-02,3044.75,3087.4,3022.05,3060.15,0
2019-08-05,3032.3,3033.65,2980.8,3019.8,0
2019-08-06,3003.25,3097.6,3001.75,3070.8,0
2019-08-07,3073.9,3087.25,3034.05,3044.6,0
2019-08-08,3055.4,3084.7,3041.3,3072,0
2019-08-09,3085.55,3108,3066.3,3070.3,0
2019-08-13,3054.65,3059.5,2953.8,2958.6,0
2019-08-14,2969,3011.1,2954.25,3005.75,0
2019-08-16,2998.75,3027.3,2975.15,3021.05,0
2019-08-19,3027.85,3055.85,3027.45,3033.1,0
2019-08-20,3032.05,3041.8,3003.25,3012.65,0
2019-08-21,3011.65,3012.55,2957.8,2963.15,0
2019-08-22,2954.15,2970.05,2919.1,2928.1,0
2019-08-23,2925.35,2958.05,2901.8,2949.6,0
2019-08-26,2989.3,3019.65,2923.15,3015.35,0
2019-08-27,3030.05,3064.15,3028.95,3038,0
2019-08-28,3048.5,3055.95,2993.75,3006.45,0
2019-08-29,2992.7,3021.9,2982.3,3013.25,0
2019-08-30,3019.95,3033.7,2948.2,3001.15,0
2019-09-03,2994.1,2995.35,2916.7,2924.45,0
2019-09-04,2928.15,2963.75,2919.95,2955.75,0
2019-09-05,2965.55,3019.75,2964.8,2991.3,0
2019-09-06,3006.6,3029.65,3001.9,3025.1,0
2019-09-09,3029.7,3075.2,3017,3068.05,0
2019-09-11,3080.05,3096.85,3064.65,3074.55,0
2019-09-12,3085.95,3087.9,3050.45,3059,0
2019-09-13,3062.35,3074.85,3032.5,3071.2,0
2019-09-16,3051.2,3057.35,3032.05,3045.55,0
2019-09-17,3050.9,3050.9,2984.15,2995,0
2019-09-18,3007.6,3019.4,2986.4,3004.25,0
2019-09-19,3012.45,3013.25,2973.35,2983.5,0
2019-09-20,2988.8,3136.45,2962.15,3121.05,0
2019-09-23,3176.9,3243.85,3172.1,3212.8,0
2019-09-24,3209.6,3209.6,3167.1,3175.25,0
2019-09-25,3177.1,3184.85,3148.15,3155.75,0
2019-09-26,3164.85,3208.3,3164.25,3204.35,0
2019-09-27,3196.6,3202.2,3175.65,3186.05,0
2019-09-30,3188.05,3220.75,3165.15,3208.4,0
2019-10-01,3230.9,3243.35,3133.7,3164.2,0
2019-10-03,3147.6,3187.65,3123.95,3171.2,0
2019-10-04,3191.9,3196.25,3126.65,3131.4,0
2019-10-07,3123.65,3127.35,3090.4,3094.2,0
2019-10-09,3096.5,3156.1,3084.45,3151.45,0
2019-10-10,3149.55,3177.25,3147.65,3172,0
2019-10-11,3175.5,3192.75,3156.8,3176.3,0
2019-10-14,3191,3216.05,3184.55,3200.55,0
2019-10-15,3207.85,3229.45,3202.3,3222.35,0
2019-10-16,3236,3243.35,3224.4,3235.7,0
2019-10-17,3238.6,3260.95,3225.2,3257.9,0
2019-10-18,3261.5,3311,3253.95,3300.8,0
2019-10-22,3313,3337.8,3290.7,3297.3,0
2019-10-23,3296.75,3298.2,3249.3,3262.5,0
2019-10-24,3276.35,3281.75,3224.2,3271.35,0
2019-10-25,3279.4,3279.65,3235.95,3253.1,0
2019-10-27,3270.65,3274.8,3254.1,3259.5,0
2019-10-29,3263.35,3290.8,3252.75,3283.3,0
2019-10-30,3315.05,3318.45,3296.8,3313.4,0
2019-10-31,3325.15,3329.45,3313.1,3322.55,0
2019-11-01,3309.05,3319.85,3301,3302.45,0
2019-11-04,3318.85,3333.85,3305.15,3309.5,0
2019-11-05,3314.1,3317.5,3276.45,3290.45,0
2019-11-06,3290.85,3303.8,3273.75,3286.9,0
2019-11-07,3299.95,3301.9,3274,3286.85,0
2019-11-08,3281.45,3287.35,3249.85,3254.6,0
2019-11-11,3250.15,3264,3237.1,3254.2,0
2019-11-13,3255.95,3268.7,3231.2,3236.5,0
2019-11-14,3228.55,3238,3205,3219.1,0
2019-11-15,3225.25,3255.25,3224.15,3237.95,0
2019-11-18,3250.2,3267.55,3245.6,3248.4,0
2019-11-19,3266.8,3307.2,3264.15,3298.1,0
2019-11-20,3334.5,3347.5,3318.25,3325.35,0
2019-11-21,3344.3,3344.65,3295.7,3301.25,0
2019-11-22,3301.15,3312.1,3288.3,3301.3,0
2019-11-25,3306.9,3348.15,3305.7,3344,0
2019-11-26,3345.55,3349.2,3297.8,3304.3,0
2019-11-27,3308.55,3318.85,3288.25,3311,0
2019-11-28,3320,3346.8,3306.95,3340.8,0
2019-11-29,3342.5,3351.45,3314.2,3323.3,0
2019-12-02,3367.05,3369.5,3325.45,3333.5,0
2019-12-03,3342.1,3342.1,3278.6,3291.95,0
2019-12-04,3285.8,3294.2,3256.85,3275.25,0
2019-12-05,3288.25,3289.1,3252.55,3256.2,0
2019-12-06,3268,3271,3226.4,3238.25,0
2019-12-09,3244.6,3262.1,3226.1,3247.85,0
2019-12-10,3247.1,3248.2,3209.35,3214.45,0
2019-12-11,3215.15,3226.9,3200.1,3222.2,0
2019-12-12,3236.5,3248.15,3229.3,3240.25,0
2019-12-13,3257.25,3271.1,3249.05,3267.15,0
