date,open,high,low,close,volume
2019-07-01,8085.4,8192.45,8085.35,8178.8,0
2019-07-02,8185.4,8198.3,8068,8101.65,0
2019-07-03,8120.75,8120.75,8032.25,8092.2,0
2019-07-04,8099.45,8138.9,8035.15,8046.8,0
2019-07-05,8058.65,8082.7,7911.2,7926.5,0
2019-07-08,7862.8,7922,7791.1,7801.75,0
2019-07-09,7810.15,8053.45,7795.25,8012.05,0
2019-07-10,8011.8,8060.7,7963.25,8009.5,0
2019-07-11,8068.3,8152.9,8049.7,8110.05,0
2019-07-12,8132.4,8189,8083.9,8144.3,0
2019-07-15,8198.75,8276.55,8151.75,8231.85,0
2019-07-16,8227.35,8360.15,8194.9,8347.95,0
2019-07-17,8351.95,8363.75,8288.5,8330.75,0
2019-07-18,8328,8329.95,8207.2,8223.15,0
2019-07-19,8253.75,8288,8029.95,8040.1,0
2019-07-22,8028.5,8189.2,7976.05,8120.85,0
2019-07-23,8142.05,8165.05,8043.25,8063.65,0
2019-07-24,8057.15,8071.25,7890.2,7920.65,0
2019-07-25,7942.5,8116.6,7931.4,8094.35,0
2019-07-26,8113.4,8210.1,8050.05,8178.9,0
2019-07-29,8177.15,8184,7994.15,8039.8,0
2019-07-30,8039.45,8205.25,7853.6,7877.75,0
2019-07-31,7857.6,7999.6,7801.85,7987.5,0
2019-08-01,7945.05,7963.15,7790.1,7878.75,0
2019-08-02,7841.95,7963.95,7781.85,7868.2,0
2019-08-05,7819.9,7881.85,7735.05,7807.95,0
2019-08-06,7790.9,7905.9,7783.75,7818.5,0
2019-08-07,7833.7,7959.95,7823.75,7879.75,0
2019-08-08,7919.1,7994.1,7854.2,7964.8,0
2019-08-09,8014.95,8049.1,7896.4,7924.05,0
2019-08-13,7909.3,7984.85,7789.15,7851.95,0
2019-08-14,7859.1,7866.2,7550.55,7744.3,0
2019-08-16,7738.35,7756.6,7636.2,7684.3,0
2019-08-19,7770.3,7851.15,7727.55,7741.35,0
2019-08-20,7764.85,7772.1,7676.45,7749.7,0
2019-08-21,7732.95,7765,7660.65,7677.25,0
2019-08-22,7667.8,7746.35,7630.2,7670.85,0
2019-08-23,7669,7793,7554.7,7780.55,0
2019-08-26,7834.95,7858,7690.75,7824.3,0
2019-08-27,7869.25,7896.3,7804.2,7812.1,0
2019-08-28,7824.5,7897.1,7701.35,7738.65,0
