date,open,high,low,close,volume
2019-07-01,3225.15,3226.6,3185.55,3218.1,0
2019-07-02,3225.2,3230.9,3182.3,3200.6,0
2019-07-03,3207.6,3263.5,3186,3255.65,0
2019-07-04,3269,3329,3268.3,3297.3,0
2019-07-05,3313.9,3348.4,3260.6,3303.35,0
2019-07-08,3263.8,3271.45,3094.3,3108.45,0
2019-07-09,3091.8,3157.95,3072.4,3151.65,0
2019-07-10,3172.5,3179.7,3099,3117.3,0
2019-07-11,3142.15,3179.3,3121.85,3170.9,0
2019-07-12,3170.2,3203.25,3148.8,3178.6,0
2019-07-15,3167.35,3170.05,3083.75,3097.35,0
2019-07-16,3087.5,3146.15,3085.35,3142.4,0
2019-07-17,3144.35,3187.55,3126.3,3177.55,0
2019-07-18,3177.5,3181.6,3070.5,3076.5,0
2019-07-19,3094.15,3100.15,3009.25,3018.1,0
2019-07-22,3016.7,3040.9,2972.95,3001.55,0
2019-07-23,3013.05,3019.5,2900.9,2908.05,0
2019-07-24,2908.95,2925,2842.75,2857.7,0
2019-07-25,2864.1,2881.45,2810.85,2831.15,0
2019-07-26,2845.35,2904.8,2830,2863.2,0
2019-07-29,2870.15,2881.6,2815.05,2848.5,0
2019-07-30,2853.9,2867.85,2701,2709.45,0
2019-07-31,2698.25,2772.6,2687.9,2756.25,0
2019-08-01,2738.35,2752.7,2639.1,2683.95,0
2019-08-02,2667.65,2718.1,2636,2655.65,0
2019-08-05,2608.25,2623.55,2519.65,2609.6,0
2019-08-06,2594.25,2659.85,2592.65,2647.05,0
2019-08-07,2666.45,2681.9,2548.95,2558.2,0
2019-08-08,2575.75,2615.35,2531.95,2602.55,0
2019-08-09,2616.05,2637.55,2574.35,2596.2,0
2019-08-13,2599.9,2616,2519.2,2526.9,0
2019-08-14,2539.1,2578.65,2523.75,2565.4,0
2019-08-16,2552.6,2616.95,2524.2,2603.6,0
2019-08-19,2611.1,2618.05,2576.65,2581.95,0
2019-08-20,2581.6,2582.6,2501.5,2521.25,0
2019-08-21,2524.75,2534.4,2431.9,2446.95,0
2019-08-22,2444.9,2445.05,2340.6,2354.7,0
2019-08-23,2349.55,2426.05,2318.45,2402.55,0
2019-08-26,2557.95,2557.95,2403.05,2488.45,0
2019-08-27,2527,2575.7,2524.75,2550.8,0
2019-08-28,2556.05,2564.75,2498.95,2517.3,0
2019-08-29,2503,2517.5,2441.95,2449.45,0
2019-08-30,2462.65,2484.75,2396.6,2474.4,0
2019-09-03,2433.35,2433.35,2340.35,2353.8,0
2019-09-04,2357.5,2386.8,2343.65,2375.7,0
2019-09-05,2389.85,2394.95,2354.05,2375.9,0
2019-09-06,2387.7,2407,2368.5,2381.3,0
2019-09-09,2378.4,2426.65,2365,2419.7,0
2019-09-11,2423.15,2502.3,2423.15,2495,0
2019-09-12,2503.6,2529.8,2489.4,2505.55,0
2019-09-13,2501.2,2520.2,2439.6,2511.8,0
2019-09-16,2487.3,2516.3,2470.65,2479.55,0
2019-09-17,2482.45,2494.6,2382.2,2388.55,0
