date,open,high,low,close,volume
2019-07-01,285.35,293.1,284.75,291.8,0
2019-07-02,292.3,292.5,285.5,287.5,0
2019-07-03,288.2,291,287.55,289.9,0
2019-07-04,290,295,289.9,292.55,0
2019-07-05,295.35,295.5,281,282.1,0
2019-07-08,280.4,281,271.05,272.25,0
2019-07-09,271.25,280.55,269.05,279.95,0
2019-07-10,279.95,281.45,274.45,275.55,0
2019-07-11,277.25,280.35,276.85,279.1,0
2019-07-12,278.55,282.55,278.55,280.55,0
2019-07-15,281.15,282.05,279,280.25,0
2019-07-16,279.9,287.15,279,285.55,0
2019-07-17,285.25,286.75,285,286.05,0
2019-07-18,285.75,286.15,281.3,281.7,0
2019-07-19,282.6,283.45,275.95,277.55,0
2019-07-22,275.6,275.85,270.8,273.65,0
2019-07-23,274.25,278.2,273.15,276.35,0
2019-07-24,276.7,278.15,270,273.45,0
2019-07-25,271.75,275.55,270.6,273.8,0
2019-07-26,273.6,275.05,271.95,274.4,0
2019-07-29,272.6,273.15,269.8,271.85,0
2019-07-30,270.5,273.9,267.15,268.05,0
2019-07-31,266.55,267.95,259.45,267.45,0
2019-08-01,265.9,269.05,262.4,264.55,0
2019-08-02,261.35,265.45,256.95,262.6,0
2019-08-05,258.35,259,253.8,257.9,0
2019-08-06,256.95,263.8,256.45,262.45,0
2019-08-07,261.75,265.45,258.2,258.7,0
2019-08-08,261.15,264.15,258.7,263.5,0
2019-08-09,264.15,267.7,263.95,265.65,0
2019-08-13,265.4,266.75,261.3,263,0
2019-08-14,264.25,266.25,262.55,264.35,0
2019-08-16,263.5,267,262,265.1,0
2019-08-19,266.4,269.35,265.85,266.75,0
2019-08-20,266,267.15,262.75,263.8,0
2019-08-21,263.4,263.55,255.25,258.55,0
2019-08-22,256.6,256.9,239.35,242.6,0
2019-08-23,239,245.95,235.95,244.55,0
2019-08-26,249.55,254.25,242.55,253.7,0
2019-08-27,254,257.5,252.45,256.6,0
2019-08-28,257.5,263.1,256.35,262.7,0
2019-08-29,262.4,264.9,260.7,263.8,0
2019-08-30,264.3,267.95,263,267.2,0
2019-09-03,263.8,266.95,259.45,261.15,0
2019-09-04,260.3,261.55,256.75,260.7,0
2019-09-05,261.3,261.45,255,256,0
2019-09-06,256.55,256.85,251.55,254.3,0
2019-09-09,255.25,256.7,253.75,256,0
2019-09-11,257,269.15,255.4,266.6,0
2019-09-12,267.4,268.8,263.25,264.25,0
2019-09-13,265.3,271.2,263.45,268.1,0
2019-09-16,265.85,269.1,264.2,265.55,0
2019-09-17,265.5,266.65,254.95,255.65,0
2019-09-18,257.1,259.95,255.15,259.4,0
2019-09-19,259.45,259.45,254.5,255.4,0
2019-09-20,255.1,267.2,251.95,265.3,0
2019-09-23,269.65,276.35,267.25,272.8,0
2019-09-24,272.35,273.95,267.3,269.2,0
2019-09-25,270.15,270.15,259.75,260.95,0
2019-09-26,261.25,268.85,260.65,267.8,0
2019-09-27,267.15,267.25,261,261.7,0
2019-09-30,261.5,261.65,253.8,258.75,0
2019-10-01,258.65,259.25,241,248.1,0
2019-10-03,248.35,256.1,246.2,251.2,0
2019-10-04,252.75,253.45,246.45,248.15,0
2019-10-07,248.1,248.4,244.55,245.25,0
2019-10-09,245.95,251.45,243.45,250.25,0
2019-10-10,250,250.25,243.95,244.95,0
2019-10-11,245.65,248.8,243.1,247.3,0
2019-10-14,249.6,255.8,248.3,252.05,0
2019-10-15,252.8,255.1,250.6,253.7,0
2019-10-16,254.3,258.2,253.85,256.35,0
2019-10-17,255.15,259.15,254,257.85,0
2019-10-18,259,263.5,257.8,262.8,0
2019-10-22,262.25,267.7,260.35,263.85,0
2019-10-23,264.1,265.1,260.25,261.55,0
2019-10-24,262.75,265.25,261.1,263.95,0
2019-10-25,264,265.5,261.3,264.9,0
2019-10-27,266.65,266.9,264.2,265,0
2019-10-29,264.75,268.5,264.35,267.3,0
2019-10-30,268.2,268.65,265.15,265.85,0
2019-10-31,270.05,272.5,268.4,269,0
2019-11-01,270.6,273.35,268.95,271.15,0
2019-11-04,272.7,273.45,268.75,269.6,0
2019-11-05,269.15,270.95,266.6,267.7,0
2019-11-06,271.45,275.95,271.1,274.05,0
2019-11-07,282.6,282.6,275.2,276.45,0
2019-11-08,278.35,284.95,278.2,281.05,0
2019-11-11,279.55,284.05,279.15,283.4,0
2019-11-13,284.45,286.15,277.2,278.3,0
2019-11-14,278.25,278.85,276.3,277.65,0
2019-11-15,277.75,279.2,276.05,276.95,0
2019-11-18,277.5,278.75,275.8,277.9,0
2019-11-19,279,279.3,276.7,278.05,0
2019-11-20,278.15,278.95,273.35,273.95,0
2019-11-21,275,276.3,272.25,275.45,0
2019-11-22,275.55,276.6,273.75,275.85,0
2019-11-25,278.25,282.7,277.95,280.7,0
2019-11-26,281.75,282.65,275.55,278.1,0
2019-11-27,277.3,280.6,274.45,276.3,0
2019-11-28,277.45,280,276.35,279.3,0
2019-11-29,280.1,284,278.6,282.05,0
2019-12-02,281.7,282.3,277.95,281.05,0
2019-12-03,281.6,285.55,280.25,284.8,0
2019-12-04,283.65,286.45,281.9,285.35,0
2019-12-05,285.7,287.7,284.15,285.85,0
2019-12-06,286.7,286.9,281.1,283.4,0
2019-12-09,283.5,284.85,278.9,280.45,0
2019-12-10,278.85,280.4,277.05,277.9,0
2019-12-11,278.65,282.4,277.7,280.5,0
2019-12-12,282.5,283.7,280,282.9,0
2019-12-13,284.15,288.55,284.15,287.65,0
2019-12-16,287.15,289.85,287.05,289.35,0
2019-12-17,289.45,290.65,287.65,288.6,0
2019-12-18,289,290.95,287.2,290.55,0
2019-12-19,289.85,291.15,288.4,290.4,0
2019-12-20,290.65,292.7,289.6,291.95,0
2019-12-23,291.7,294.25,288.45,290.7,0
2019-12-24,290.75,292.55,290.35,291.95,0
2019-12-26,292.4,293.05,290.25,291.4,0
2019-12-27,291.5,296.9,291.2,296.1,0
2019-12-30,296.9,297.8,293.95,296.45,0
2019-12-31,296.15,299.05,295.8,298.55,0
2020-01-01,299.45,300.65,296.9,297.85,0
2020-01-02,299.15,302.4,298.2,301,0
2020-01-03,300.7,302.15,298.35,299.65,0
2020-01-06,299.1,299.75,292.05,292.4,0
2020-01-07,294.4,298.95,293.95,298.05,0
2020-01-08,292.25,297.9,291.35,297.05,0
2020-01-09,300.65,305.8,300.2,305.15,0
2020-01-10,308.05,311.75,305.9,310.65,0
2020-01-13,312,317.65,311.85,317.15,0
2020-01-14,317.35,318.45,314.65,316.75,0
2020-01-15,315.6,322.65,315.6,320.9,0
2020-01-16,321.75,324.8,320.7,323.8,0
2020-01-17,323.25,325.05,322.35,324.15,0
