date,open,high,low,close,volume
2019-07-01,5157.35,5170.55,5153.95,5163.45,0
2019-07-02,5173.2,5175,5141.35,5156.39,0
2019-07-03,5162.95,5177,5158.14,5170.55,0
2019-07-04,5177.25,5198.2,5177.2,5186.75,0
2019-07-05,5198.64,5204.8,5111.45,5120.25,0
2019-07-08,5099.89,5101.25,4993.5,5009.3,0
2019-07-09,4999.3,5026.14,4973.89,5014.7,0
2019-07-10,5015.14,5038.45,4975.7,4979,0
2019-07-11,4995.95,5007.6,4976.6,4996.95,0
2019-07-12,4997.5,5032,4994.5,5015.85,0
2019-07-15,5027.3,5030.45,4969.25,4975.8,0
2019-07-16,4978.25,4988.45,4961.2,4975.8,0
2019-07-17,4973.14,4995,4965.55,4975.8,0
2019-07-18,4972.05,4974.39,4921.1,4924.45,0
2019-07-19,4933.25,4938.55,4837.6,4841.05,0
2019-07-22,4821.14,4824.45,4748.8,4772.39,0
2019-07-23,4777.89,4801.25,4774,4797.5,0
2019-07-24,4796.25,4805.35,4733.45,4737.8,0
2019-07-25,4729.8,4758.7,4719,4724.39,0
2019-07-26,4711.64,4730.6,4696.6,4726.45,0
2019-07-29,4725.05,4731.95,4673.64,4678,0
2019-07-30,4671.6,4688.85,4560.89,4567.55,0
2019-07-31,4544.8,4588.39,4501,4581.6,0
2019-08-01,4561.3,4594.5,4497,4523.55,0
2019-08-02,4484.89,4524.3,4449.35,4496.85,0
2019-08-05,4461.6,4462.95,4367.35,4405.5,0
2019-08-06,4377.2,4483.64,4377.1,4478.85,0
2019-08-07,4488.3,4522.1,4465.95,4471.55,0
2019-08-08,4478.85,4514.45,4464.55,4506.64,0
2019-08-09,4522.05,4567.2,4521.95,4546.45,0
2019-08-13,4554.75,4562,4475.3,4480.6,0
2019-08-14,4490.7,4501.7,4472.5,4495.64,0
2019-08-16,4488.7,4507.39,4455.14,4502.25,0
2019-08-19,4510.05,4536.1,4507.05,4526.05,0
2019-08-20,4521.75,4529.05,4480.8,4493.45,0
2019-08-21,4484,4488,4407.14,4412.5,0
2019-08-22,4394.5,4397.45,4313.89,4316.45,0
2019-08-23,4298.3,4347.85,4242.55,4343.75,0
2019-08-26,4436.89,4437.45,4338.85,4433.5,0
2019-08-27,4452.2,4505.3,4449.95,4500.25,0
2019-08-28,4504.3,4526.45,4457.2,4476.55,0
2019-08-29,4465.85,4470.45,4427.1,4438.85,0
2019-08-30,4442.05,4481.6,4434.89,4479,0
2019-09-03,4457.89,4465.85,4407.3,4416.2,0
2019-09-04,4414.75,4430.25,4395.25,4426.25,0
2019-09-05,4430.64,4460.7,4430.64,4456.3,0
2019-09-06,4463.64,4510.7,4463.25,4505.05,0
2019-09-09,4495.45,4543.14,4490.3,4537.45,0
2019-09-11,4557.7,4615.35,4556.25,4608.35,0
2019-09-12,4630.05,4661.8,4615.39,4618.6,0
2019-09-13,4634.89,4650.7,4604.95,4646.1,0
2019-09-16,4625.6,4668.39,4612.85,4664.14,0
2019-09-17,4676.75,4684.25,4563.3,4571.2,0
2019-09-18,4600.55,4613.45,4565.6,4577.8,0
2019-09-19,4586.85,4586.89,4498.45,4512.64,0
2019-09-20,4524.8,4696.3,4490.25,4668.95,0
2019-09-23,4743.1,4823.3,4740.5,4819.89,0
2019-09-24,4835.25,4848.14,4805.3,4820.85,0
2019-09-25,4826.6,4826.85,4732.45,4742.85,0
2019-09-26,4755.45,4778.45,4751.14,4766.5,0
2019-09-27,4771.95,4787.3,4723.8,4730.8,0
2019-09-30,4739.6,4743.7,4653.25,4677.39,0
2019-10-01,4695.39,4699.55,4538.6,4598.05,0
2019-10-03,4591.85,4604.95,4551.5,4576.85,0
2019-10-04,4601.3,4606.75,4531.1,4535.89,0
2019-10-07,4542.85,4547.14,4483.95,4488.39,0
2019-10-09,4495.3,4518.55,4469.45,4515.85,0
2019-10-10,4510.35,4518.6,4488.05,4492.55,0
2019-10-11,4502.7,4528.25,4477.35,4506.85,0
2019-10-14,4520.05,4531.55,4502.2,4507.55,0
2019-10-15,4519.7,4522,4500.6,4504.8,0
2019-10-16,4524.7,4539.64,4507.6,4513.8,0
2019-10-17,4520.6,4561.2,4513.95,4557.7,0
2019-10-18,4569.7,4649.55,4568.7,4643.2,0
2019-10-22,4656.25,4695.95,4655,4681.85,0
2019-10-23,4694.6,4700.39,4666,4687.39,0
2019-10-24,4710.35,4717.8,4658.89,4664.75,0
2019-10-25,4675.14,4679.85,4635,4645.8,0
2019-10-27,4674.89,4701.45,4672.8,4698.14,0
2019-10-29,4703.89,4734.3,4690.95,4726.8,0
2019-10-30,4751.05,4765.5,4743.1,4756.85,0
2019-10-31,4780.25,4806.5,4779.6,4789.75,0
2019-11-01,4813.6,4831.2,4807.6,4817.6,0
2019-11-04,4846.2,4869.95,4833.05,4839,0
2019-11-05,4855.5,4860.2,4783.5,4794.3,0
2019-11-06,4814.5,4814.5,4766.85,4772.14,0
2019-11-07,4797.6,4807.95,4782.7,4796.39,0
2019-11-08,4803.55,4821.3,4769.2,4774.25,0
2019-11-11,4783.64,4787.55,4768.89,4778.35,0
2019-11-13,4781.6,4786.35,4728.14,4739.64,0
2019-11-14,4753.3,4756.05,4718.3,4739.5,0
2019-11-15,4747.39,4756.25,4730.35,4733.64,0
2019-11-18,4748.85,4758.05,4735.95,4742.3,0
2019-11-19,4751.45,4764,4747.89,4755.05,0
